Rozmiar,Rosnacy,Malejacy,Staly,V-kształtny,Losowy
2000,0.0003038208000361919,0.012486399430781604,0.00028921859338879583,0.006403926201164723,0.006573712453246117
4000,0.0006094756536185741,0.05050026280805468,0.0005852493457496166,0.025530210044234992,0.026208891812711955
6000,0.0009235123172402382,0.11421211455017329,0.0008833201602101326,0.05751709220930934,0.057435650192201135
8000,0.001244255155324936,0.2035060958005488,0.0011838090606033802,0.10239228047430515,0.1034682353027165
10000,0.0016279220581054688,0.32073338199406864,0.001480463705956936,0.15998141169548036,0.16458567986264824
12000,0.0018789665773510933,0.4600031109526753,0.001776006445288658,0.23033825969323515,0.2335363850928843
14000,0.002233313582837582,0.63040816411376,0.0020715411752462386,0.31456664828583597,0.3133078394457698
16000,0.002543658297508955,0.8224332974292338,0.0023729237727820873,0.41153928749263285,0.41029972247779367
18000,0.0029122970998287203,1.0552814000286161,0.002669374458491802,0.5231629129499197,0.5227041380479932
20000,0.0032643720507621763,1.3054537614807487,0.0029719531536102294,0.6476642612367869,0.6480502885766327
22000,0.0036162508651614187,1.5952024296857417,0.003258757945150137,0.7871384000405669,0.7861967749893666
24000,0.003955649491399526,1.901192196365446,0.0036576407961547374,0.9380257281474769,0.9275119187310338
26000,0.00452669681981206,2.2823927610181274,0.0038586092181503774,1.1122016452252865,1.1388275138102473
28000,0.004947125725448131,2.645096143614501,0.0041703577153384686,1.2961120772175492,1.3073038725182413
30000,0.005150896124541759,3.0619389824569225,0.004458484426140785,1.4984697214327753,1.4821834610775113
